,Sample Size
elevation;budget1000.0,457.4
elevation;budget1500.0,686.2
elevation;budget2000.0,913.6
elevation;budget2500.0,1143.0
elevation;budget3000.0,1371.6
elevation;budget3500.0,1599.2
elevation;budget4000.0,1828.4
elevation;budget4500.0,2056.6
elevation;budget500.0,228.0
elevation;budget5000.0,2283.4
population;budget1000.0,509.6
population;budget1500.0,764.8
population;budget2000.0,1018.2
population;budget2500.0,1275.2
population;budget3000.0,1528.6
population;budget3500.0,1785.2
population;budget4000.0,2037.4
population;budget4500.0,2294.0
population;budget500.0,255.2
population;budget5000.0,2550.4
treecover;budget1000.0,457.4
treecover;budget1500.0,686.2
treecover;budget2000.0,913.6
treecover;budget2500.0,1143.0
treecover;budget3000.0,1371.6
treecover;budget3500.0,1599.2
treecover;budget4000.0,1828.4
treecover;budget4500.0,2056.6
treecover;budget500.0,228.0
treecover;budget5000.0,2283.4
