label,Test R2
elevation;cost1000,"[0.26985675470245163, 0.22502367039129978, 0.09669094433823355, 0.18910648107930783, 0.27832375301626766]"
elevation;cost1500,"[0.25455361557931977, 0.2675175927879665, 0.24261367657624466, 0.2679869438147582, 0.2628524755817576]"
elevation;cost2000,"[0.288484814696249, 0.2387949208373007, 0.2772328118579539, 0.2688485257355848, 0.27092995930686226]"
elevation;cost2500,"[0.28592548940098095, 0.30263821532586277, 0.31096602573392274, 0.30587460681775214, 0.27790263891645695]"
elevation;cost3000,"[0.35754452465012765, 0.3283555835124694, 0.359890347062076, 0.35373849820289216, 0.36738861238153464]"
elevation;cost3500,"[0.3972719100666877, 0.40090429073318, 0.44077999338575635, 0.39135466284482345, 0.40426289213653654]"
elevation;cost4000,"[0.4408872506482753, 0.4364480755033123, 0.48060555710891073, 0.4653972744162239, 0.4903704009488362]"
elevation;cost4500,"[0.4632588872269091, 0.45753995556236193, 0.5091395832182646, 0.5110627574332058, 0.5164091641429902]"
elevation;cost500,"[0.20206285856377204, 0.20417249000224247, -0.010073231747085298, 0.010149625070755453, 0.21386699701529832]"
elevation;cost5000,"[0.5043990919062318, 0.46754330300284597, 0.5149908811834965, 0.5360978394928329, 0.5238725271026309]"
population;cost1000,"[-2.940189261179203, -3.054970882597166, -2.9501192074464053, -3.129779322571445, -3.0481515072354988]"
population;cost1500,"[-2.838156784936386, -2.894717482108665, -3.0094171611934017, -2.9154728535609307, -2.9367952896416725]"
population;cost2000,"[-2.777007190880675, -3.003998806467857, -3.0239891579608944, -2.9977192700378144, -2.972892322026193]"
population;cost2500,"[-2.8866789837887428, -2.873509619571599, -2.9070787408234637, -2.8549522447494775, -2.9294176438493658]"
population;cost2995,"[-1.7952180550043608, -1.6511749948562602, -1.900264691057978, -1.6931271526365355, -1.640899908871293]"
population;cost3495,"[-1.0037334124513957, -1.0473016277825855, -1.1392417323850617, -1.02792958439773, -1.1251257970638489]"
population;cost3995,"[-0.6544719136689361, -0.6718168745063693, -0.7235387774870417, -0.687077991184696, -0.7495344651507991]"
population;cost4495,"[-0.44013817604665784, -0.4304738830721013, -0.4780670661645483, -0.48450099994066576, -0.5181815685265114]"
population;cost4995,"[-0.26789202123510636, -0.24603832459328245, -0.3216727630113163, -0.30254881721338145, -0.3532673900061831]"
population;cost500,"[-3.0532710347199377, -3.1612223488380664, -2.8946125923431847, -3.06914969292003, -2.9521958477559918]"
treecover;cost1000,"[0.7721503540789326, 0.7951297613686439, 0.75526419574899, 0.7787439754357337, 0.785045187098284]"
treecover;cost1500,"[0.788005486191248, 0.7963535722532663, 0.7845958693875036, 0.8025945314357471, 0.7992854355585113]"
treecover;cost2000,"[0.8055791920753959, 0.810392738830749, 0.8031832777759522, 0.8087881497816773, 0.8047318404081276]"
treecover;cost2500,"[0.8185842342817052, 0.8204365589172785, 0.8176497252771531, 0.820878178904963, 0.8182335808366537]"
treecover;cost3000,"[0.8225613316847474, 0.8139076097149464, 0.8226416600502837, 0.8269562139384453, 0.8307339022912759]"
treecover;cost3500,"[0.8304832447154119, 0.8177873955596373, 0.8370621220309435, 0.8317716953219972, 0.8366742619038557]"
treecover;cost4000,"[0.8361667479252846, 0.8232304764937451, 0.8410322003737148, 0.8364922139104058, 0.8387029376023063]"
treecover;cost4500,"[0.8445965298383429, 0.8335717311216725, 0.8451711287446806, 0.8395136638945935, 0.8409889283873014]"
treecover;cost500,"[0.7184638707445952, 0.7473066477349031, 0.7727453852080419, 0.7230938602617936, 0.743832362021214]"
treecover;cost5000,"[0.8528524545879862, 0.8393346301343957, 0.8509982589472819, 0.8452631068353503, 0.8457594763852974]"
