label,Test R2
elevation;cost1001,[0.5234589688718652]
elevation;cost1010,[0.5239456867783095]
elevation;cost1487,[0.5399555354017553]
elevation;cost1497,[0.5361387518287257]
elevation;cost1508,"[0.5417218548655355, 0.5353139432848233, 0.5417218548655355]"
elevation;cost1992,[0.576389163951804]
elevation;cost1993,"[0.5766348082835491, 0.5765667155555763]"
elevation;cost2002,"[0.5765117210313235, 0.5763057286469564]"
elevation;cost2488,[0.5878112393392618]
elevation;cost2499,"[0.585367584459012, 0.5861369552385125]"
elevation;cost2508,[0.5873934018069942]
elevation;cost2510,[0.5859108180114907]
elevation;cost2985,[0.6075874325933264]
elevation;cost2994,[0.610296686224892]
elevation;cost3004,"[0.6104352804453448, 0.6104352804453448]"
elevation;cost3014,[0.606599399550444]
elevation;cost3488,[0.6078966783496781]
elevation;cost3489,[0.6066436078398534]
elevation;cost3498,[0.607543280465165]
elevation;cost3499,[0.6065855798219719]
elevation;cost3519,[0.6077880051508271]
elevation;cost3984,[0.6194663560316656]
elevation;cost3995,[0.6248518736917543]
elevation;cost4005,"[0.6254606446404096, 0.6254606446404096]"
elevation;cost4006,[0.6196043426841936]
elevation;cost4491,[0.6350344344348267]
elevation;cost4501,"[0.6358391599036257, 0.6358391599036257]"
elevation;cost4510,[0.6330161261496463]
elevation;cost4511,[0.6385764175429223]
elevation;cost486,[0.2736642115296325]
elevation;cost496,[0.37149609848659426]
elevation;cost497,[0.34153455365258534]
elevation;cost4977,[0.6482933955213274]
elevation;cost4995,[0.6481547647940902]
elevation;cost5005,[0.6461793847790345]
elevation;cost5006,[0.6411935258079773]
elevation;cost5016,[0.6464292571916505]
elevation;cost506,"[0.4140314653955053, 0.4140314653955053]"
elevation;cost990,"[0.5199575991336446, 0.5199575991336446]"
elevation;cost991,[0.5215179017392279]
population;cost1007,"[0.5447045032110294, 0.5447045032110294]"
population;cost1016,[0.5461088763469102]
population;cost1485,[0.5683920148260857]
population;cost1486,[0.5600141371122136]
population;cost1495,[0.5601434283316251]
population;cost1505,[0.5625150431443795]
population;cost1516,[0.5670557877837122]
population;cost1993,"[0.586432320154785, 0.5829580568541195]"
population;cost2003,[0.5856313834164086]
population;cost2004,[0.5803291558701188]
population;cost2013,[0.5816596983214947]
population;cost2491,[0.5986802827473867]
population;cost2500,[0.6003740609736494]
population;cost2502,[0.600226211918943]
population;cost2503,"[0.598514302330948, 0.600145809801799]"
population;cost2990,"[0.6095699163629079, 0.6095699163629079]"
population;cost3000,"[0.6100373624514654, 0.6100373624514654]"
population;cost3002,[0.6099837974702396]
population;cost3479,[0.6185327421072533]
population;cost3487,[0.619520397169981]
population;cost3488,[0.6183969791322981]
population;cost3499,[0.6189107716842619]
population;cost3508,[0.6185578526996605]
population;cost3987,[0.6261024762764678]
population;cost3988,[0.6261775398701683]
population;cost3996,[0.6235846068400572]
population;cost4006,[0.6235935174849287]
population;cost4008,[0.6259292944768309]
population;cost4484,[0.6273196319311212]
population;cost4485,"[0.6251886174888275, 0.6251007869226484]"
population;cost4495,[0.6252259428556595]
population;cost4505,[0.6238599975600838]
population;cost496,[0.4851738553541697]
population;cost498,[0.4861282820401701]
population;cost4983,"[0.6289752148122648, 0.6289752148122648]"
population;cost499,[0.489602741603406]
population;cost4992,[0.6287915276203311]
population;cost4993,[0.6281797956390418]
population;cost5003,[0.6288268373691774]
population;cost508,[0.48992381744864255]
population;cost509,[0.49895309918205477]
population;cost987,"[0.5470045805071033, 0.5470045805071033]"
treecover;cost1001,[0.8109914889860941]
treecover;cost1010,[0.8085076304889063]
treecover;cost1487,[0.8194181252547007]
treecover;cost1497,[0.8198884521388273]
treecover;cost1508,"[0.8185199902802884, 0.8126663566828457, 0.8185199902802884]"
treecover;cost1992,[0.8504866592668487]
treecover;cost1993,"[0.8497247757417751, 0.8507443113295454]"
treecover;cost2002,"[0.8518815619449103, 0.8521480038768725]"
treecover;cost2488,[0.8569998972514584]
treecover;cost2499,"[0.8575479550309462, 0.8570452869048656]"
treecover;cost2508,[0.8577705582166685]
treecover;cost2510,[0.8575356259555968]
treecover;cost2985,[0.8608016451803533]
treecover;cost2994,[0.8610260869093954]
treecover;cost3004,"[0.859472370500305, 0.859472370500305]"
treecover;cost3014,[0.8606643776169038]
treecover;cost3488,[0.8648812113696731]
treecover;cost3489,[0.864857918852467]
treecover;cost3498,[0.8653448708174136]
treecover;cost3499,[0.8661657608123274]
treecover;cost3519,[0.865799287478473]
treecover;cost3984,[0.8659763326317599]
treecover;cost3995,[0.865659343414338]
treecover;cost4005,"[0.8656069754515622, 0.8656069754515622]"
treecover;cost4006,[0.8668461248456697]
treecover;cost4491,[0.8689948519265116]
treecover;cost4501,"[0.8695783129509305, 0.8695783129509305]"
treecover;cost4510,[0.8691840812582762]
treecover;cost4511,[0.8696521217812636]
treecover;cost486,[0.7364876751485315]
treecover;cost496,[0.7330300396010303]
treecover;cost497,[0.733369014983888]
treecover;cost4977,[0.8720709796232435]
treecover;cost4995,[0.8721583114706528]
treecover;cost5005,[0.8729448734348066]
treecover;cost5006,[0.8736930001593808]
treecover;cost5016,[0.8742490526866165]
treecover;cost506,"[0.7354535293793638, 0.7354535293793638]"
treecover;cost990,"[0.8065857746763547, 0.8065857746763547]"
treecover;cost991,[0.8093076404281632]
