label,Test R2
elevation;cost1006,"[0.49687330894289417, 0.49687330894289417]"
elevation;cost1008,[0.49410049953204427]
elevation;cost1482,[0.5113231008940834]
elevation;cost1491,"[0.5136313086257813, 0.5137007155333657]"
elevation;cost1492,"[0.5055819738603223, 0.5085384098823735]"
elevation;cost1996,"[0.5778163868033215, 0.5777313479127535]"
elevation;cost2005,[0.5769335095594208]
elevation;cost2006,[0.5784163150369837]
elevation;cost2015,[0.5783218108068855]
elevation;cost2478,[0.5899160026185558]
elevation;cost2489,[0.5904404945175046]
elevation;cost2498,"[0.5900438331907851, 0.5900438331907851]"
elevation;cost2509,[0.5892384736424199]
elevation;cost2983,[0.5996881238150804]
elevation;cost2992,[0.6004456749191242]
elevation;cost2993,"[0.6005834542665838, 0.6005834542665838, 0.6005834542665838]"
elevation;cost3486,[0.611267090255531]
elevation;cost3497,"[0.6099710998403705, 0.6101789724425324]"
elevation;cost3506,"[0.6101325234689773, 0.6112222923967556]"
elevation;cost3989,[0.6161585247939991]
elevation;cost3999,[0.6208440607180066]
elevation;cost4000,[0.6208846762882468]
elevation;cost4010,[0.6184544694963813]
elevation;cost4019,[0.6209561959619767]
elevation;cost4493,"[0.6325585292397571, 0.6344934282422675]"
elevation;cost4494,[0.6326160620802155]
elevation;cost4495,[0.6307076901089347]
elevation;cost4504,[0.6301794947826909]
elevation;cost494,[0.41329369426148166]
elevation;cost495,[0.3781890015414877]
elevation;cost4989,[0.6468402074124672]
elevation;cost4997,"[0.6425851304841017, 0.6471044552194777]"
elevation;cost5006,[0.6369189373583126]
elevation;cost5017,[0.6430107584529621]
elevation;cost504,"[0.4118531601488866, 0.41529970870289257]"
elevation;cost505,[0.3873393497450951]
elevation;cost996,[0.4976343262116756]
elevation;cost998,[0.4973060438421666]
population;cost1003,"[0.5333428696275517, 0.5333428696275517, 0.5314386070022221]"
population;cost1012,[0.5308161398705494]
population;cost1489,[0.5632219236405902]
population;cost1499,[0.5613303218924788]
population;cost1500,"[0.5625629812099809, 0.5626607322687753]"
population;cost1511,[0.5636632087045002]
population;cost1984,[0.5843374146096592]
population;cost1996,[0.5797331366188951]
population;cost1997,[0.5854046985898348]
population;cost1998,[0.5794129599365061]
population;cost2016,[0.584406776869352]
population;cost2492,[0.5986783806492579]
population;cost2493,[0.5990224000183425]
population;cost2503,[0.5974405324237196]
population;cost2513,[0.5963435808502622]
population;cost2523,[0.5947187141297414]
population;cost2998,"[0.606194130956492, 0.606194130956492]"
population;cost3001,"[0.6068433106471017, 0.6081784397424596]"
population;cost3008,[0.6089358115992471]
population;cost3496,"[0.6179624942392627, 0.617866344462106]"
population;cost3497,[0.618491410436236]
population;cost3505,[0.6166164502692486]
population;cost3506,[0.618694463352482]
population;cost3992,"[0.6204477057209153, 0.6206968405310354]"
population;cost3993,[0.6204298728165332]
population;cost4002,[0.6206321078001822]
population;cost4013,[0.6197694191979402]
population;cost4488,[0.6255077738050933]
population;cost4498,[0.6276705888003562]
population;cost4499,[0.6265650347660738]
population;cost4510,"[0.6274246281878599, 0.6274246281878599]"
population;cost487,"[0.4734876001369498, 0.47874352415372134]"
population;cost497,"[0.47741122765179445, 0.49985436489596113]"
population;cost4985,[0.6253717587371723]
population;cost4995,[0.6241354821569254]
population;cost4996,[0.6241469253749087]
population;cost5005,"[0.6264423553707424, 0.6264189244762113]"
population;cost507,[0.49901815555930606]
population;cost993,[0.5341403858275469]
treecover;cost1006,"[0.7946059407800645, 0.7946059407800645]"
treecover;cost1008,[0.7933563943786421]
treecover;cost1482,[0.8239785127441439]
treecover;cost1491,"[0.8232026180557497, 0.818931940389036]"
treecover;cost1492,"[0.8230169403760363, 0.8239510917874961]"
treecover;cost1996,"[0.8486742072903578, 0.8488342541546701]"
treecover;cost2005,[0.8476807477141055]
treecover;cost2006,[0.8479794233490668]
treecover;cost2015,[0.8485373842351043]
treecover;cost2478,[0.857012933355272]
treecover;cost2489,[0.858655567989463]
treecover;cost2498,"[0.8582882671757506, 0.8582882671757506]"
treecover;cost2509,[0.8568656875286403]
treecover;cost2983,[0.8609692791896266]
treecover;cost2992,[0.8607961800121815]
treecover;cost2993,"[0.8608035702709547, 0.8608035702709547, 0.8608035702709547]"
treecover;cost3486,[0.8646115580540563]
treecover;cost3497,"[0.8651897433531535, 0.865035897362839]"
treecover;cost3506,"[0.8621988633962432, 0.8649487405020733]"
treecover;cost3989,[0.8668011704784498]
treecover;cost3999,[0.8665665544250621]
treecover;cost4000,[0.8668606011396087]
treecover;cost4010,[0.8667230890945393]
treecover;cost4019,[0.8668688924661958]
treecover;cost4493,"[0.8676407842180618, 0.8673271343697162]"
treecover;cost4494,[0.8679012903135377]
treecover;cost4495,[0.8678955395587008]
treecover;cost4504,[0.8679292521510769]
treecover;cost494,[0.7506709864443045]
treecover;cost495,[0.7465467197221642]
treecover;cost4989,[0.8722443937205099]
treecover;cost4997,"[0.8728079963150506, 0.8730282942885988]"
treecover;cost5006,[0.8722291721196977]
treecover;cost5017,[0.8722305691343785]
treecover;cost504,"[0.7478222041597384, 0.7422205014385074]"
treecover;cost505,[0.7499530548016697]
treecover;cost996,[0.8021885294954675]
treecover;cost998,[0.7925930937418232]
