label,Test R2
elevation;cost1497,[0.40468577132789496]
elevation;cost1498,[0.39267529655784694]
elevation;cost1507,[0.40061047218650936]
elevation;cost1508,"[0.4186149180506856, 0.4186149180506856]"
elevation;cost1997,"[0.4341335709064328, 0.4341335709064328, 0.4341335709064328]"
elevation;cost2007,"[0.4342595343696807, 0.4342595343696807]"
elevation;cost2495,"[0.47282213360912995, 0.47282213360912995]"
elevation;cost2496,[0.485514964833091]
elevation;cost2505,[0.4779786360527817]
elevation;cost2506,[0.48562774947140774]
elevation;cost2994,[0.49378643153272084]
elevation;cost2995,"[0.4957984284266964, 0.4957984284266964, 0.4957984284266964]"
elevation;cost3005,[0.4990310661487497]
elevation;cost3503,[0.5096905300321662]
elevation;cost3504,"[0.5073985839768613, 0.5073985839768613, 0.5073985839768613, 0.5073985839768613]"
elevation;cost3993,[0.5341636963810505]
elevation;cost4003,"[0.5272301404838509, 0.5272301404838509, 0.5272301404838509, 0.5272301404838509]"
elevation;cost4493,[0.5367057911130273]
elevation;cost4503,"[0.5279759191467157, 0.5279759191467157]"
elevation;cost4504,"[0.5393554496934163, 0.5393554496934163]"
elevation;cost499,"[0.22115456404770328, 0.22115456404770328, 0.22115456404770328, 0.22115456404770328, 0.22115456404770328]"
elevation;cost4992,[0.536288348876545]
elevation;cost5001,[0.5337663634699539]
elevation;cost5002,"[0.5407419663975219, 0.5407419663975219, 0.5407419663975219]"
elevation;cost998,"[0.35040743811968167, 0.35040743811968167]"
elevation;cost999,"[0.35119920196755205, 0.35119920196755205, 0.35119920196755205]"
population;cost1002,"[0.24819573792395389, 0.24819573792395389]"
population;cost1003,"[0.25804369814727546, 0.25804369814727546, 0.25804369814727546]"
population;cost1494,"[0.2679763067034555, 0.2679763067034555]"
population;cost1504,"[0.26230047314949656, 0.26230047314949656]"
population;cost1505,[0.25468208918671786]
population;cost1995,[0.2707634489293418]
population;cost1996,"[0.2666604035684851, 0.2666604035684851]"
population;cost2006,"[0.26952252933355836, 0.26952252933355836]"
population;cost2497,"[0.292706512052771, 0.292706512052771]"
population;cost2498,"[0.29284739788958825, 0.29284739788958825]"
population;cost2508,[0.29182282829493544]
population;cost2998,[0.33158889250988643]
population;cost2999,"[0.3315498460327728, 0.3315498460327728, 0.3315498460327728, 0.3315498460327728]"
population;cost3500,"[0.35144637630406905, 0.35144637630406905, 0.35144637630406905, 0.35144637630406905, 0.35144637630406905]"
population;cost4001,"[0.35859031861603197, 0.35859031861603197, 0.35859031861603197, 0.35859031861603197, 0.35859031861603197]"
population;cost4492,[0.3692044535948469]
population;cost4493,[0.36920710200059415]
population;cost4502,"[0.37410120096734345, 0.37410120096734345]"
population;cost4503,[0.3706107112276398]
population;cost4994,"[0.3836695197625265, 0.3836695197625265]"
population;cost5004,"[0.37135864076023206, 0.37135864076023206, 0.37135864076023206]"
population;cost501,"[0.17138240157256635, 0.17138240157256635, 0.17138240157256635]"
population;cost502,"[0.058688349622785574, 0.058688349622785574]"
treecover;cost1497,[0.7971364663874422]
treecover;cost1498,[0.7972246174192541]
treecover;cost1507,[0.7975692839021805]
treecover;cost1508,"[0.7969335025639078, 0.7969335025639078]"
treecover;cost1997,"[0.8192806425402404, 0.8192806425402404, 0.8192806425402404]"
treecover;cost2007,"[0.8187748681102227, 0.8187748681102227]"
treecover;cost2495,"[0.8300095497409335, 0.8300095497409335]"
treecover;cost2496,[0.8281282600169035]
treecover;cost2505,[0.8312150288785609]
treecover;cost2506,[0.8308574230577707]
treecover;cost2994,[0.8348402705383545]
treecover;cost2995,"[0.8314848743230663, 0.8314848743230663, 0.8314848743230663]"
treecover;cost3005,[0.8300761311150521]
treecover;cost3503,[0.8394520599142963]
treecover;cost3504,"[0.8405055250194509, 0.8405055250194509, 0.8405055250194509, 0.8405055250194509]"
treecover;cost3993,[0.8484344623204069]
treecover;cost4003,"[0.8476098854518327, 0.8476098854518327, 0.8476098854518327, 0.8476098854518327]"
treecover;cost4493,[0.8498396059276672]
treecover;cost4503,"[0.8498150762778998, 0.8498150762778998]"
treecover;cost4504,"[0.8466799404855797, 0.8466799404855797]"
treecover;cost499,"[0.7490126015966703, 0.7490126015966703, 0.7490126015966703, 0.7490126015966703, 0.7490126015966703]"
treecover;cost4992,[0.8547115656732378]
treecover;cost5001,[0.8547696186428466]
treecover;cost5002,"[0.8548535934470002, 0.8548535934470002, 0.8548535934470002]"
treecover;cost998,"[0.7809851048587582, 0.7809851048587582]"
treecover;cost999,"[0.7821548014584504, 0.7821548014584504, 0.7821548014584504]"
