label,Cost,Test R2
elevation,100.0,-0.23730912422436345
elevation,100.0,-0.28266524055560094
elevation,100.0,-0.27946471482435076
elevation,100.0,-0.047324063745497025
elevation,100.0,-0.10913541861642151
elevation,1000.0,-0.128127117929157
elevation,1000.0,-0.22165806712686797
elevation,1000.0,-0.0474670869496332
elevation,1000.0,0.038463701336670764
elevation,1000.0,0.09750555353596435
elevation,1100.0,-0.08713308958885468
elevation,1100.0,-0.19598639781555205
elevation,1100.0,-0.06248991712340923
elevation,1100.0,-0.049183348054655074
elevation,1100.0,0.08581793546714811
elevation,1200.0,-0.09261773294342435
elevation,1200.0,-0.11581010017342042
elevation,1200.0,-0.047628597555780194
elevation,1200.0,0.018766924123898465
elevation,1200.0,0.05425900443627951
elevation,1300.0,-0.10378562322934881
elevation,1300.0,-0.12132102605160133
elevation,1300.0,-0.023218774501149175
elevation,1300.0,0.0060610642134730774
elevation,1300.0,0.03673827174489741
elevation,1400.0,-0.11645424463492882
elevation,1400.0,-0.10529265930881504
elevation,1400.0,-0.04652605248600694
elevation,1400.0,0.002934290233773229
elevation,1400.0,0.07710831250467987
elevation,1500.0,-0.08956801856351793
elevation,1500.0,-0.12856893197692942
elevation,1500.0,-0.04227089710155907
elevation,1500.0,0.02150358161224175
elevation,1500.0,0.09809450318028634
elevation,1600.0,-0.07010873057817912
elevation,1600.0,-0.11018893252593998
elevation,1600.0,-0.005804015448749755
elevation,1600.0,0.027445130998446587
elevation,1600.0,0.09355867629347359
elevation,1700.0,-0.04802087552315015
elevation,1700.0,-0.0862573463524774
elevation,1700.0,-0.007861488460942034
elevation,1700.0,0.02839523487922868
elevation,1700.0,0.07847424023652194
elevation,1800.0,-0.05384874903579995
elevation,1800.0,-0.0636543496808255
elevation,1800.0,-0.02020817742454062
elevation,1800.0,0.022161538349922738
elevation,1800.0,0.06633529421114759
elevation,1900.0,-0.0617998545087739
elevation,1900.0,-0.07442836493776372
elevation,1900.0,-0.029955144058460448
elevation,1900.0,0.015513409115562538
elevation,1900.0,0.0464281836545547
elevation,200.0,0.007606301874162336
elevation,200.0,-0.09874556629791242
elevation,200.0,-0.3053044890742569
elevation,200.0,-0.1060629845623946
elevation,200.0,-0.10395774391663881
elevation,2000.0,-0.07458170810892639
elevation,2000.0,-0.06809132206305168
elevation,2000.0,-0.0405215145660236
elevation,2000.0,0.055587102694529045
elevation,2000.0,0.0543461117687164
elevation,300.0,0.0029209105965375404
elevation,300.0,-0.0020827408440964312
elevation,300.0,-0.13722267086139261
elevation,300.0,-0.11817862496412346
elevation,300.0,-0.05351930269614846
elevation,400.0,0.0027337205822259847
elevation,400.0,-0.023015685781318407
elevation,400.0,-0.15607670358584103
elevation,400.0,-0.05794518767920498
elevation,400.0,0.019237122622464797
elevation,500.0,-0.013435261553079059
elevation,500.0,-0.06525065733032798
elevation,500.0,-0.17722701311348943
elevation,500.0,-0.12396840778910545
elevation,500.0,-0.0016068298482765364
elevation,600.0,-0.06702422255093321
elevation,600.0,-0.07271495505089631
elevation,600.0,-0.0716757329222304
elevation,600.0,-0.11387251428821021
elevation,600.0,0.09056352958138603
elevation,700.0,-0.14823018559604906
elevation,700.0,-0.14366961948052048
elevation,700.0,-0.10095853257840859
elevation,700.0,-0.11294613707617396
elevation,700.0,0.06065760888696181
elevation,800.0,-0.18288774254159712
elevation,800.0,-0.18412335189090268
elevation,800.0,-0.09938093424672578
elevation,800.0,-0.0765763859590487
elevation,800.0,0.07698361208783988
elevation,900.0,-0.1471642979012211
elevation,900.0,-0.20801867022931897
elevation,900.0,-0.11824645633460928
elevation,900.0,-0.04932863299987211
elevation,900.0,0.04808576117001928
population,100.0,0.12660944027182153
population,100.0,0.39512091931328
population,100.0,0.38758796415801144
population,100.0,-0.11327815873066505
population,100.0,0.36720791268787967
population,1000.0,0.5411663042839459
population,1000.0,0.5453932394244443
population,1000.0,0.5340438656399986
population,1000.0,0.5587153175276447
population,1000.0,0.5336838348386284
population,1100.0,0.5410735666279517
