label,Test R2
elevation;cost1493,[0.41964221780564837]
elevation;cost1494,[0.45777585258070297]
elevation;cost1497,[0.43253053732374946]
elevation;cost1498,[0.44079043169777865]
elevation;cost1500,[0.43036565839730423]
elevation;cost1991,[0.45963179415908695]
elevation;cost1994,[0.48786279027398627]
elevation;cost1996,[0.49887222178170243]
elevation;cost1998,[0.4988097679736868]
elevation;cost1999,[0.4659339511960098]
elevation;cost2491,[0.5035246734021381]
elevation;cost2493,[0.48872947909539977]
elevation;cost2495,[0.5001610388535795]
elevation;cost2496,[0.5027729045653566]
elevation;cost2499,[0.5083450776644005]
elevation;cost2991,[0.512749970123282]
elevation;cost2992,[0.5175945062913715]
elevation;cost2995,"[0.517944533933903, 0.5088400901299486]"
elevation;cost2998,[0.5232958738952658]
elevation;cost3491,[0.5273047723959154]
elevation;cost3493,[0.507379197296156]
elevation;cost3496,"[0.5192551114972964, 0.5161400668832461]"
elevation;cost3498,[0.5138358103832463]
elevation;cost3994,[0.5147628028880569]
elevation;cost3995,[0.5413838418567237]
elevation;cost3997,[0.5414436563693836]
elevation;cost3998,[0.5222457774167044]
elevation;cost4000,[0.5313037295642914]
elevation;cost4491,[0.5423656028304709]
elevation;cost4496,"[0.5245030944577702, 0.5546803715380801]"
elevation;cost4499,[0.5388870062311879]
elevation;cost4500,[0.5384576811127202]
elevation;cost491,"[0.27772350808664914, 0.29849140979643196, 0.3159109555074423]"
elevation;cost492,"[0.2802014688759181, 0.27516004076350575]"
elevation;cost4991,[0.5581712942444328]
elevation;cost4992,[0.5562081690506175]
elevation;cost4994,[0.543483331238672]
elevation;cost4997,[0.5583608112066445]
elevation;cost4998,[0.5410938523119008]
elevation;cost991,[0.3890647098643142]
elevation;cost992,[0.31516332381155676]
elevation;cost994,[0.4196465034060818]
elevation;cost995,[0.456686420166561]
elevation;cost997,[0.410072944356875]
population;cost1494,[0.5034314490610596]
population;cost1497,[0.48227954844317855]
population;cost1499,"[0.47788555300824387, 0.4110794024506298]"
population;cost1500,[0.50463163042784]
population;cost1992,[0.5001321235660563]
population;cost1993,[0.5083392066648973]
population;cost1995,[0.5090180128402146]
population;cost1996,[0.49128069749585324]
population;cost2000,[0.47545427831603737]
population;cost2493,"[0.49311652431696296, 0.506984612278019]"
population;cost2495,[0.5152744852672402]
population;cost2497,[0.5260573757360819]
population;cost2498,[0.4950610764999399]
population;cost2996,[0.5270110794163558]
population;cost2997,[0.48511534602203343]
population;cost2999,"[0.5375049835230002, 0.5004152011367207]"
population;cost3000,[0.5338817427181954]
population;cost3491,[0.5280665952620482]
population;cost3492,[0.5404088447409539]
population;cost3499,"[0.5465765083125433, 0.5168051761161337]"
population;cost3500,[0.5282929211565592]
population;cost3993,[0.5474438130570234]
population;cost3994,[0.5608535446250038]
population;cost3995,"[0.5473781496452614, 0.5247334579617224]"
population;cost3998,[0.5434221121245928]
population;cost4494,[0.5474504134300666]
population;cost4495,[0.5565056575350696]
population;cost4496,[0.5587187107764177]
population;cost4498,[0.5317340307617953]
population;cost4500,[0.5478496850892423]
population;cost491,[0.29657265454798376]
population;cost492,[0.27320066761431616]
population;cost493,[0.1993310427887569]
population;cost494,[0.3272304597949157]
population;cost495,[0.30233095526257514]
population;cost4992,[0.5489856224126501]
population;cost4996,"[0.5413063384330326, 0.5475048276928114]"
population;cost4999,"[0.5719633600411695, 0.5380917275683227]"
population;cost992,[0.46112133805840816]
population;cost993,[0.21547591271052358]
population;cost997,"[0.4636717925084146, 0.39282733136022563]"
population;cost998,[0.37563153034674046]
treecover;cost1493,[0.7051074222708062]
treecover;cost1494,[0.7739678387857629]
treecover;cost1497,[0.7687933707951229]
treecover;cost1498,[0.792168586132491]
treecover;cost1500,[0.72664149481499]
treecover;cost1991,[0.7381883455450734]
treecover;cost1994,[0.7619044433889043]
treecover;cost1996,[0.7248392900866223]
treecover;cost1998,[0.7999713702927295]
treecover;cost1999,[0.8009953927528456]
treecover;cost2491,[0.8070787719066469]
treecover;cost2493,[0.8018434819893464]
treecover;cost2495,[0.7870486192187129]
treecover;cost2496,[0.7759971726829824]
treecover;cost2499,[0.8024368954101505]
treecover;cost2991,[0.8079024394609089]
treecover;cost2992,[0.8158181731763594]
treecover;cost2995,"[0.8032516916431299, 0.799513766368692]"
treecover;cost2998,[0.8070487715269471]
treecover;cost3491,[0.8139912098698134]
treecover;cost3493,[0.8198281933215705]
treecover;cost3496,"[0.8246910734133825, 0.8145170829565707]"
treecover;cost3498,[0.8080234317407868]
treecover;cost3994,[0.8236781624892197]
treecover;cost3995,[0.8248133732012406]
treecover;cost3997,[0.8265446408557059]
treecover;cost3998,[0.8215806932755484]
treecover;cost4000,[0.8205325564424835]
treecover;cost4491,[0.8188842514999508]
treecover;cost4496,"[0.8215564805359915, 0.8279136478783641]"
treecover;cost4499,[0.8270638860640604]
treecover;cost4500,[0.8298008726328147]
treecover;cost491,"[0.5298392135597236, 0.5200209103962743, 0.5929438619255216]"
treecover;cost492,"[0.596751250935674, 0.6515760764025356]"
treecover;cost4991,[0.8216882185030661]
treecover;cost4992,[0.8326383037047655]
treecover;cost4994,[0.8215290054442917]
treecover;cost4997,[0.8332322018437207]
treecover;cost4998,[0.8345196808217024]
treecover;cost991,[0.7256079341072177]
treecover;cost992,[0.63355472633481]
treecover;cost994,[0.6899932795056474]
treecover;cost995,[0.7445303756090147]
treecover;cost997,[0.741381046708061]
