dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_updated_r2_se,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_1200_size,cluster_based_c1_25_c2_35,100,1200,10.0,0.18,0.0,0.0,0.18,0.0,0.0015622419786960012,-0.0,0.0015622419786960012,0.18,0.01,0.0040400495046471864,0.01,0.0040400495046471864
TOGO_PH_H2O,2_strata_desired_25ppc_1200_size,cluster_based_c1_25_c2_35,200,1200,10.0,0.18,0.0,0.0,0.18,0.01,0.002875517344757287,0.0,0.002875517344757287,0.2,0.01,0.003245365926979575,0.02,0.003245365926979575
TOGO_PH_H2O,2_strata_desired_25ppc_1200_size,cluster_based_c1_25_c2_35,300,1200,10.0,0.18,0.0,0.0,0.18,0.01,0.004028572948327979,0.0,0.004028572948327979,0.22,0.01,0.00280510249367113,0.04,0.00280510249367113
TOGO_PH_H2O,2_strata_desired_25ppc_1200_size,cluster_based_c1_25_c2_35,400,1200,10.0,0.18,0.0,0.0,0.18,0.01,0.0038535697735995393,0.0,0.0038535697735995393,0.23,0.0,0.0015226949793047833,0.05,0.0015226949793047833
TOGO_PH_H2O,2_strata_desired_25ppc_1200_size,cluster_based_c1_25_c2_35,500,1200,10.0,0.18,0.0,0.0,0.18,0.01,0.003803892742967393,0.0,0.003803892742967393,0.24,0.0,0.001827566688249708,0.06,0.001827566688249708
TOGO_PH_H2O,2_strata_desired_25ppc_1200_size,cluster_based_c1_25_c2_35,600,1200,10.0,0.18,0.0,0.0,0.18,0.01,0.003460838048796849,0.01,0.003460838048796849,0.22,0.02,0.011897537560352561,0.05,0.011897537560352561
TOGO_PH_H2O,2_strata_desired_25ppc_1200_size,cluster_based_c1_25_c2_35,700,1200,10.0,0.18,0.0,0.0,0.19,0.01,0.0026744345196695316,0.01,0.0026744345196695316,0.24,0.01,0.003919999999999998,0.06,0.003919999999999998
TOGO_PH_H2O,2_strata_desired_25ppc_1200_size,cluster_based_c1_25_c2_35,800,1200,10.0,0.18,0.0,0.0,0.19,0.01,0.002844187054326774,0.01,0.002844187054326774,0.24,0.01,0.0027497999927267418,0.06,0.0027497999927267413
TOGO_PH_H2O,2_strata_desired_25ppc_1200_size,cluster_based_c1_25_c2_35,900,1200,10.0,0.18,0.0,0.0,0.19,0.01,0.002672339798753143,0.01,0.002672339798753143,0.25,0.01,0.003076198953253831,0.07,0.003076198953253831
TOGO_PH_H2O,2_strata_desired_25ppc_1200_size,cluster_based_c1_25_c2_35,1000,1200,10.0,0.18,0.0,0.0,0.19,0.01,0.0036053571251680435,0.01,0.0036053571251680435,0.25,0.01,0.005620800654711034,0.07,0.005620800654711034
