dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,initial_mse_mean,initial_mse_std,initial_mse_se,initial_rmse_mean,initial_rmse_std,initial_rmse_se,initial_mae_mean,initial_mae_std,initial_mae_se,poprisk_image_clusters_3_0.5_updated_r2_mean,poprisk_image_clusters_3_0.5_updated_r2_std,poprisk_image_clusters_3_0.5_updated_r2_se,poprisk_image_clusters_3_0.5_delta_r2_mean,poprisk_image_clusters_3_0.5_delta_r2_se,poprisk_image_clusters_3_0.5_updated_mse_mean,poprisk_image_clusters_3_0.5_updated_mse_std,poprisk_image_clusters_3_0.5_updated_mse_se,poprisk_image_clusters_3_0.5_delta_mse_mean,poprisk_image_clusters_3_0.5_delta_mse_se,poprisk_image_clusters_3_0.5_updated_rmse_mean,poprisk_image_clusters_3_0.5_updated_rmse_std,poprisk_image_clusters_3_0.5_updated_rmse_se,poprisk_image_clusters_3_0.5_delta_rmse_mean,poprisk_image_clusters_3_0.5_delta_rmse_se,poprisk_image_clusters_3_0.5_updated_mae_mean,poprisk_image_clusters_3_0.5_updated_mae_std,poprisk_image_clusters_3_0.5_updated_mae_se,poprisk_image_clusters_3_0.5_delta_mae_mean,poprisk_image_clusters_3_0.5_delta_mae_se,default_updated_r2_mean,default_updated_r2_std,default_updated_r2_se,default_delta_r2_mean,default_delta_r2_se,default_updated_mse_mean,default_updated_mse_std,default_updated_mse_se,default_delta_mse_mean,default_delta_mse_se,default_updated_rmse_mean,default_updated_rmse_std,default_updated_rmse_se,default_delta_rmse_mean,default_delta_rmse_se,default_updated_mae_mean,default_updated_mae_std,default_updated_mae_se,default_delta_mae_mean,default_delta_mae_se
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,100,1500,10.0,0.14,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.32,0.0,0.0,0.17,0.02,0.010056072792099309,0.04,0.010056072792099309,0.19,0.0,0.002270550594018991,0.01,0.002270550594018991,0.43,0.01,0.0026273560854973574,0.01,0.002627356085497358,0.32,0.0,0.0018972084756293942,0.01,0.0018972084756293942,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,200,1500,10.0,0.14,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.32,0.0,0.0,0.19,0.01,0.0028192906909362834,0.05,0.002819290690936284,0.18,0.0,0.0006485368146836362,0.01,0.0006485368146836362,0.43,0.0,0.0007503332592921622,0.01,0.0007503332592921622,0.31,0.0,0.0007211102550927973,0.01,0.0007211102550927972,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,300,1500,10.0,0.14,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.32,0.0,0.0,0.19,0.03,0.014589633305878525,0.05,0.014589633305878525,0.18,0.01,0.003297059295796786,0.01,0.003297059295796786,0.43,0.01,0.0038126893395607317,0.01,0.0038126893395607317,0.31,0.01,0.0032500153845789774,0.01,0.0032500153845789774,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,400,1500,10.0,0.14,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.32,0.0,0.0,0.21,0.03,0.01736794748955673,0.07,0.01736794748955673,0.18,0.01,0.003935987804859158,0.02,0.003935987804859158,0.42,0.01,0.004573991692165608,0.02,0.004573991692165608,0.31,0.01,0.003636839287073325,0.01,0.003636839287073325,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,500,1500,10.0,0.14,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.32,0.0,0.0,0.21,0.04,0.017829907459098043,0.07,0.017829907459098043,0.18,0.01,0.004029565733425875,0.02,0.004029565733425874,0.42,0.01,0.004702828935864024,0.02,0.004702828935864024,0.31,0.01,0.0036995134815269956,0.01,0.0036995134815269964,0.19,0.0,0.0,0.04999999999999999,0.0,0.18,0.0,0.0,0.020000000000000018,0.0,0.43,0.0,0.0,0.010000000000000009,0.0,0.32,0.0,0.0,0.0,0.0
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,600,1500,10.0,0.14,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.32,0.0,0.0,0.22,0.03,0.01257972972682641,0.08,0.01257972972682641,0.18,0.01,0.0028494560884491597,0.02,0.0028494560884491597,0.42,0.01,0.0033555923471124986,0.02,0.0033555923471124986,0.31,0.01,0.002769548699698195,0.02,0.002769548699698195,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,700,1500,10.0,0.14,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.32,0.0,0.0,0.24,0.01,0.004484974916317815,0.1,0.004484974916317815,0.17,0.0,0.0010158740079360203,0.02,0.0010158740079360203,0.41,0.0,0.0012227019260637464,0.03,0.0012227019260637464,0.3,0.0,0.0008021221852062194,0.02,0.0008021221852062194,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,800,1500,10.0,0.14,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.32,0.0,0.0,0.23,0.02,0.009658540262379197,0.1,0.009658540262379197,0.17,0.0,0.0021867784524272206,0.02,0.0021867784524272206,0.42,0.01,0.002594494170353827,0.03,0.002594494170353827,0.31,0.0,0.002163099627848891,0.02,0.002163099627848891,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,900,1500,10.0,0.14,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.32,0.0,0.0,0.22,0.02,0.01194884931698446,0.08,0.01194884931698446,0.18,0.01,0.0027083943582868414,0.02,0.002708394358286841,0.42,0.01,0.003194432656983083,0.02,0.0031944326569830835,0.31,0.01,0.0026129676614914305,0.02,0.0026129676614914305,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,1000,1500,10.0,0.14,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.32,0.0,0.0,0.24,0.01,0.0048527311897528375,0.1,0.0048527311897528375,0.17,0.0,0.0011115754585272223,0.02,0.0011115754585272225,0.41,0.0,0.0013196969349058894,0.03,0.0013196969349058892,0.3,0.0,0.0010669582934679286,0.02,0.0010669582934679286,0.2,0.0,0.0,0.06,0.0,0.18,0.0,0.0,0.020000000000000018,0.0,0.43,0.0,0.0,0.010000000000000009,0.0,0.31,0.0,0.0,0.010000000000000009,0.0
