dataset,initial_set,cost_type,budget,initial_set_size,alpha,poprisk_image_clusters_3_0.5_updated_r2_mean,poprisk_image_clusters_3_0.5_updated_r2_std,poprisk_image_clusters_3_0.5_updated_r2_se,poprisk_image_clusters_3_0.5_updated_mse_mean,poprisk_image_clusters_3_0.5_updated_mse_std,poprisk_image_clusters_3_0.5_updated_mse_se,poprisk_image_clusters_3_0.5_updated_rmse_mean,poprisk_image_clusters_3_0.5_updated_rmse_std,poprisk_image_clusters_3_0.5_updated_rmse_se,poprisk_image_clusters_3_0.5_updated_mae_mean,poprisk_image_clusters_3_0.5_updated_mae_std,poprisk_image_clusters_3_0.5_updated_mae_se
TOGO_PH_H2O,empty_initial_set,cluster_based_c1_25_c2_35,100,0,10.0,-0.77,1.21,0.6028894280048374,0.4,0.27,0.1363824717476553,0.6,0.18,0.09188754757854842,0.43,0.08,0.03854433032237037
TOGO_PH_H2O,empty_initial_set,cluster_based_c1_25_c2_35,200,0,10.0,-0.12,0.08,0.0377236345014634,0.25,0.02,0.008534904803218366,0.5,0.02,0.00834089923209721,0.38,0.01,0.0065609907788382075
TOGO_PH_H2O,empty_initial_set,cluster_based_c1_25_c2_35,300,0,10.0,0.12,0.03,0.01570751412541144,0.2,0.01,0.003564323217666995,0.45,0.01,0.003974040764763239,0.33,0.01,0.0030347322781425017
TOGO_PH_H2O,empty_initial_set,cluster_based_c1_25_c2_35,400,0,10.0,0.15,0.01,0.0062511918863525535,0.19,0.0,0.0014104609175726905,0.44,0.0,0.0016246845847733148,0.33,0.0,0.0019184889887617267
TOGO_PH_H2O,empty_initial_set,cluster_based_c1_25_c2_35,500,0,10.0,0.14,0.02,0.01100593476266328,0.19,0.0,0.0024950751491688563,0.44,0.01,0.0028100533802758944,0.33,0.0,0.0022905021283552637
TOGO_PH_H2O,empty_initial_set,cluster_based_c1_25_c2_35,600,0,10.0,0.17,0.03,0.016310671353442198,0.19,0.01,0.0036825263067627907,0.43,0.01,0.004240683907107433,0.32,0.01,0.0034420052295137437
TOGO_PH_H2O,empty_initial_set,cluster_based_c1_25_c2_35,700,0,10.0,0.21,0.01,0.003915788554046298,0.18,0.0,0.0008952094726934006,0.42,0.0,0.0010406728592598214,0.31,0.0,0.0007672027111526656
TOGO_PH_H2O,empty_initial_set,cluster_based_c1_25_c2_35,800,0,10.0,0.21,0.01,0.007237167954386579,0.18,0.0,0.0016375591592367002,0.42,0.0,0.0019311654512236937,0.31,0.0,0.0014469277798148704
TOGO_PH_H2O,empty_initial_set,cluster_based_c1_25_c2_35,900,0,10.0,0.2,0.01,0.005716065080105365,0.18,0.0,0.0012874781551544877,0.43,0.0,0.0015117539482336433,0.32,0.0,0.0012431411826498207
TOGO_PH_H2O,empty_initial_set,cluster_based_c1_25_c2_35,1000,0,10.0,0.21,0.01,0.005121367005009501,0.18,0.0,0.0011521284650593444,0.42,0.0,0.0013600000000000062,0.31,0.0,0.0014658103560829432
